#
#Page 0: (Mixduino R5)
#
Device,Id,Type,TraktorCommand,AssignmentExpression,ConditionExpression,Interaction,MappedTo,Comment
0,65,In,Volume Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.012,
0,198,Out,Monitor Cue On [Off; On],Deck A,,LED - Output,Ch06.Note.D#2,
0,199,Out,Monitor Cue On [Off; On],Deck B,,LED - Output,Ch06.Note.E2,
0,200,Out,Monitor Cue On [Off; On],Deck C,,LED - Output,Ch06.Note.F2,
0,190,In,Deck Focus Selector = B,Global,M1=1,Button - Direct,Ch06.Note.G-1,
0,191,In,Deck Focus Selector = C,Global,M1=0,Button - Direct,Ch06.Note.G-1,
0,215,Out,Sync On [Off; On],Deck A,,LED - Output,Ch14.CC.009,
0,100,Out,Hotcue 2 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.011,
0,101,Out,Hotcue 3 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.012,
0,223,Out,Sync On [Off; On],Deck C,M1=1,LED - Output,Ch14.CC.020,
0,219,Out,Sync On [Off; On],Deck B,M1=0,LED - Output,Ch14.CC.020,
0,220,Out,Tempo Range Selector [8%; 100%],Deck B,M1=0,LED - Output,Ch14.CC.019,
0,390,In,Tempo Range Selector = 10%,Deck A,Tempo Range [Deck A]=8%,Button - Direct,Ch05.Note.F-1,
0,391,In,Tempo Range Selector = 100%,Deck A,Tempo Range [Deck A]=10%,Button - Direct,Ch05.Note.F-1,
0,392,In,Tempo Range Selector = 8%,Deck A,Tempo Range [Deck A]=100%,Button - Direct,Ch05.Note.F-1,
0,393,In,Tempo Range Selector = 10%,Deck B,Tempo Range [Deck B]=8% AND M1=0,Button - Direct,Ch06.Note.D-1,
0,394,In,Tempo Range Selector = 100%,Deck B,Tempo Range [Deck B]=10% AND M1=0,Button - Direct,Ch06.Note.D-1,
0,395,In,Tempo Range Selector = 8%,Deck B,Tempo Range [Deck B]=100% AND M1=0,Button - Direct,Ch06.Note.D-1,
0,396,In,Tempo Range Selector = 10%,Deck C,Tempo Range [Deck C]=8% AND M1=1,Button - Direct,Ch06.Note.D-1,
0,397,In,Tempo Range Selector = 100%,Deck C,Tempo Range [Deck C]=10% AND M1=1,Button - Direct,Ch06.Note.D-1,
0,398,In,Tempo Range Selector = 8%,Deck C,Tempo Range [Deck C]=100% AND M1=1,Button - Direct,Ch06.Note.D-1,
0,399,In,Tempo Bend [Hold] = Up,Deck A,M2=1,Button - Hold,Ch05.Note.F-1,
0,400,In,Tempo Bend [Hold] = Down,Deck A,M2=1,Button - Hold,Ch05.Note.E-1,
0,401,In,Tempo Bend [Hold] = Up,Deck B,M2=1 AND M1=0,Button - Hold,Ch06.Note.D-1,
0,402,In,Tempo Bend [Hold] = Down,Deck B,M2=1 AND M1=0,Button - Hold,Ch06.Note.F#-1,
0,403,In,Tempo Bend [Hold] = Up,Deck C,M2=1 AND M1=1,Button - Hold,Ch06.Note.D-1,
0,404,In,Tempo Bend [Hold] = Down,Deck C,M2=1 AND M1=1,Button - Hold,Ch06.Note.F#-1,
0,384,Out,Tempo Range Selector [8%; 100%],Deck C,M1=1,LED - Output,Ch14.CC.019,
0,387,Out,Tempo Range Selector [8%; 100%],Deck A,,LED - Output,Ch14.CC.008,
0,192,Out,Deck Focus Selector [B; D],Global,,LED - Output,Ch14.CC.018,
0,131,In,Select Up/Down (Browser List),Global,M2=0,Encoder - Relative,Ch01.CC.014_I,
0,132,In,Select Up/Down (Browser Tree),Global,M2=1,Encoder - Relative,Ch01.CC.014_I,
0,66,In,Mixer FX Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.023,
0,67,In,Mixer FX Adjust,Deck B,,Fader / Knob - Direct,Ch11.CC.022,
0,68,In,Mixer FX Adjust,Deck C,,Fader / Knob - Direct,Ch11.CC.014,
0,69,In,Low Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.016,
0,70,In,Low Adjust,Deck B,,Fader / Knob - Direct,Ch11.CC.018,
0,71,In,Low Adjust,Deck C,,Fader / Knob - Direct,Ch11.CC.021,
0,72,In,Mid Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.017,
0,73,In,Mid Adjust,Deck B,,Fader / Knob - Direct,Ch11.CC.019,
0,74,In,Mid Adjust,Deck C,,Fader / Knob - Direct,Ch11.CC.020,
0,75,In,Gain Adjust (Mixer),Deck C,,Fader / Knob - Direct,Ch11.CC.005,
0,76,In,Gain Adjust (Mixer),Deck B,,Fader / Knob - Direct,Ch11.CC.004,
0,77,In,Gain Adjust (Mixer),Deck A,,Fader / Knob - Direct,Ch11.CC.003,
0,58,In,Tempo Adjust,Deck B,M1=0,Fader / Knob - Direct,Ch11.CC.013_I,
0,59,In,Tempo Adjust,Deck C,M1=1,Fader / Knob - Direct,Ch11.CC.013_I,
